Bandwidth_Target,Run,Throughput_Mbps,Packet_Loss_Pct,Jitter_ms
10M,1,9.90,0.042%,1.984
10M,2,9.05,0.3%,1.843
10M,3,9.62,0.019%,1.096
25M,1,10.0,54%,1.631
25M,2,9.19,56%,1.297
25M,3,11.5,47%,1.673
50M,1,11.7,74%,1.045
50M,2,10.5,77%,1.115
50M,3,11.8,73%,1.573
