Bandwidth_Target,Run,Throughput_Mbps,Packet_Loss_Pct,Jitter_ms
10M,1,7.34,14%,1.202
10M,2,9.44,0.089%,1.422
10M,3,9.25,0.056%,1.414
25M,1,8.58,58%,3.325
25M,2,10.2,52%,1.250
25M,3,9.82,55%,2.964
50M,1,8.41,80%,1.676
50M,2,0.00,0%,0.000
50M,3,8.38,83%,0.648
