Bandwidth_Target,Run,Throughput_Mbps,Packet_Loss_Pct,Jitter_ms
10M,1,9.97,0.12%,1.334
10M,2,9.98,0.15%,1.185
10M,3,9.97,0.066%,1.371
25M,1,15.2,33%,0.899
25M,2,10.1,53%,5.605
25M,3,11.8,48%,0.887
50M,1,17.7,60%,2.074
50M,2,12.7,71%,1.700
50M,3,9.47,78%,1.267
