Payload_Size,Run,Transactions_Per_Sec,Latency_ms
1,1,206.14,4.8511
1,2,204.67,4.8859
1,3,224.94,4.4456
1,4,187.89,5.3223
1,5,219.76,4.5504
64,1,191.19,5.2304
64,2,210.32,4.7547
64,3,189.39,5.2801
64,4,179.54,5.5698
64,5,203.34,4.9179
256,1,197.02,5.0756
256,2,181.16,5.5200
256,3,204.77,4.8835
256,4,188.79,5.2969
256,5,177.93,5.6202
