Payload_Size,Run,Transactions_Per_Sec,Latency_ms
1,1,170.97,5.8490
1,2,155.62,6.4259
1,3,192.22,5.2024
1,4,180.38,5.5439
1,5,114.47,8.7359
64,1,159.75,6.2598
64,2,154.46,6.4742
64,3,187.24,5.3407
64,4,172.82,5.7864
64,5,165.36,6.0474
256,1,210.25,4.7562
256,2,184.05,5.4333
256,3,209.85,4.7653
256,4,137.05,7.2966
256,5,209.30,4.7778
