Payload_Size,Run,Transactions_Per_Sec,Latency_ms
1,1,177.47,5.6348
1,2,156.45,6.3918
1,3,207.48,4.8197
1,4,220.19,4.5415
1,5,117.37,8.5201
64,1,136.78,7.3110
64,2,91.99,10.8707
64,3,150.17,6.6591
64,4,184.59,5.4174
64,5,136.11,7.3470
256,1,179.10,5.5835
256,2,222.91,4.4861
256,3,130.69,7.6517
256,4,138.41,7.2249
256,5,102.14,9.7905
