Payload_Size,Run,Transactions_Per_Sec,Latency_ms
1,1,122.03,8.1947
1,2,113.37,8.8207
1,3,71.37,14.0115
1,4,127.72,7.8296
1,5,118.61,8.4310
64,1,116.33,8.5962
64,2,113.86,8.7827
64,3,105.90,9.4429
64,4,112.79,8.8660
64,5,106.33,9.4047
256,1,114.51,8.7329
256,2,114.15,8.7604
256,3,112.99,8.8503
256,4,112.80,8.8652
256,5,119.14,8.3935
