Payload_Size,Run,Transactions_Per_Sec,Latency_ms
1,1,133.82,7.4727
1,2,165.57,6.0397
1,3,126.30,7.9177
1,4,103.04,9.7050
1,5,119.88,8.3417
64,1,97.97,10.2072
64,2,156.46,6.3914
64,3,212.54,4.7050
64,4,162.46,6.1554
64,5,192.46,5.1959
256,1,161.53,6.1908
256,2,196.67,5.0847
256,3,173.74,5.7557
256,4,142.47,7.0190
256,5,214.99,4.6514
