Timestamp,Namespace,Pod,CPU_cores,Memory
16:58:13,kube-flannel,kube-flannel-ds-vdxvt,16m,12Mi
16:58:13,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:13,kube-system,coredns-7c65d6cfc9-jzgjb,2m,17Mi
16:58:13,kube-system,etcd-reehan-pc,17m,84Mi
16:58:13,kube-system,kube-apiserver-reehan-pc,35m,330Mi
16:58:13,kube-system,kube-controller-manager-reehan-pc,14m,75Mi
16:58:13,kube-system,kube-proxy-4589w,1m,18Mi
16:58:13,kube-system,kube-proxy-g78q2,1m,66Mi
16:58:13,kube-system,kube-proxy-zsl56,1m,17Mi
16:58:13,kube-system,kube-scheduler-reehan-pc,2m,25Mi
16:58:13,kube-system,metrics-server-784768665f-z8mzt,6m,23Mi
16:58:15,kube-flannel,kube-flannel-ds-4x5s5,9m,12Mi
16:58:15,kube-flannel,kube-flannel-ds-bmzv4,3m,21Mi
16:58:15,kube-flannel,kube-flannel-ds-vdxvt,16m,12Mi
16:58:15,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:15,kube-system,coredns-7c65d6cfc9-jzgjb,2m,17Mi
16:58:15,kube-system,etcd-reehan-pc,17m,84Mi
16:58:15,kube-system,kube-apiserver-reehan-pc,35m,330Mi
16:58:15,kube-system,kube-controller-manager-reehan-pc,14m,75Mi
16:58:15,kube-system,kube-proxy-4589w,1m,18Mi
16:58:15,kube-system,kube-proxy-g78q2,1m,66Mi
16:58:15,kube-system,kube-proxy-zsl56,1m,17Mi
16:58:15,kube-system,kube-scheduler-reehan-pc,2m,25Mi
16:58:15,kube-system,metrics-server-784768665f-z8mzt,6m,23Mi
16:58:18,kube-flannel,kube-flannel-ds-4x5s5,9m,12Mi
16:58:18,kube-flannel,kube-flannel-ds-bmzv4,3m,21Mi
16:58:18,kube-flannel,kube-flannel-ds-vdxvt,16m,12Mi
16:58:18,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:18,kube-system,coredns-7c65d6cfc9-jzgjb,2m,17Mi
16:58:18,kube-system,etcd-reehan-pc,17m,84Mi
16:58:18,kube-system,kube-apiserver-reehan-pc,35m,330Mi
16:58:18,kube-system,kube-controller-manager-reehan-pc,14m,75Mi
16:58:18,kube-system,kube-proxy-4589w,1m,18Mi
16:58:18,kube-system,kube-proxy-g78q2,1m,66Mi
16:58:18,kube-system,kube-proxy-zsl56,1m,17Mi
16:58:18,kube-system,kube-scheduler-reehan-pc,2m,25Mi
16:58:18,kube-system,metrics-server-784768665f-z8mzt,6m,23Mi
