Bandwidth_Target,Run,Throughput_Mbps,Packet_Loss_Pct,Jitter_ms
10M,1,1.88,79%,2.416
10M,2,6.35,32%,1.513
10M,3,6.76,18%,3.466
25M,1,7.99,63%,7.422
25M,2,3.75,83%,26.808
25M,3,1.27,94%,43.778
50M,1,3.26,92%,2.047
50M,2,10.8,75%,1.616
50M,3,9.92,79%,30.997
