Bandwidth_Target,Run,Throughput_Mbps,Packet_Loss_Pct,Jitter_ms
10M,1,9.35,5.5%,1.834
10M,2,4.11,53%,8.482
10M,3,5.09,46%,4.826
25M,1,6.54,72%,4.210
25M,2,10.9,53%,2.282
25M,3,9.90,59%,1.123
50M,1,8.25,83%,4.201
50M,2,10.0,79%,1.976
50M,3,13.9,71%,1.283
