Payload_Size,Run,Transactions_Per_Sec
1,1,177.47
1,2,156.45
1,3,207.48
1,4,220.19
1,5,117.37
64,1,136.78
64,2,91.99
64,3,150.17
64,4,184.59
64,5,136.11
256,1,179.10
256,2,222.91
256,3,130.69
256,4,138.41
256,5,102.14
