Payload_Size,Run,Transactions_Per_Sec
1,1,133.82
1,2,165.57
1,3,126.30
1,4,103.04
1,5,119.88
64,1,97.97
64,2,156.46
64,3,212.54
64,4,162.46
64,5,192.46
256,1,161.53
256,2,196.67
256,3,173.74
256,4,142.47
256,5,214.99
